,money,recent,frequency,cluster
247,6057.0,5,3,0
248,1213.5,148,1,1
249,1108.7,69,1,1
250,574.0,160,1,1
251,5234.0,75,5,0
252,2436.0,32,1,2
253,1536.0,153,1,1
254,897.0,87,1,1
255,1502.5,109,2,1
256,3329.0,96,2,0
257,4275.0,165,1,1
258,1482.0,47,2,1
259,1095.5,10,1,2
260,1339.0,2,1,2
261,2009.0,55,2,0
262,1838.5,147,1,1
263,2048.0,13,2,2
264,2502.0,105,1,1
265,982.5,85,1,1
266,3178.0,171,1,1
267,6577.0,10,2,0
268,2639.0,126,1,1
269,772.0,87,1,1
270,683.0,52,1,1
271,2167.5,171,1,1
272,8147.0,36,3,0
273,1208.0,105,1,1
274,946.0,78,1,1
275,1255.0,183,1,1
276,1432.0,134,1,1
277,918.0,155,1,1
278,592.0,153,1,1
279,7710.0,36,2,0
280,8799.0,70,3,0
281,6055.5,140,2,0
282,1855.0,132,3,0
283,7180.5,2,5,0
284,2532.0,192,1,1
285,1802.0,172,2,1
286,2385.0,169,1,1
287,725.0,148,1,1
288,3131.5,144,2,0
289,1735.0,188,1,1
290,2903.0,82,1,1
291,616.0,105,1,1
292,2452.5,162,1,1
293,1249.0,61,1,1
294,554.5,46,1,1
295,6400.0,61,3,0
296,1099.0,154,1,1
297,4.0,151,1,1
298,1131.0,62,1,1
299,523.5,3,1,2
300,6225.0,112,2,0
301,835.0,96,1,1
302,2175.0,36,1,2
303,728.0,103,1,1
304,1536.0,18,1,2
305,2829.0,101,1,1
306,1229.0,15,1,2
307,4584.0,97,1,1
308,1367.0,99,1,1
309,467.5,39,1,2
310,1476.0,48,1,1
311,1395.0,120,1,1
312,4822.0,40,7,0
313,2067.0,26,2,0
314,2420.0,26,2,0
315,13523.5,3,4,0
316,4222.5,152,2,0
317,409.0,160,1,1
318,4971.0,153,1,1
319,5553.0,35,3,0
320,7330.0,69,2,0
321,20998.0,6,7,0
322,1130.0,110,1,1
323,7517.0,81,2,0
324,3544.0,62,2,0
325,4225.5,149,2,0
326,6477.0,134,1,1
327,846.0,59,1,1
328,2193.0,68,1,1
329,2492.0,35,1,2
330,30907.5,7,10,0
331,6237.0,2,2,2
332,1738.0,152,1,1
333,2404.0,28,1,2
334,4233.0,104,2,0
335,5363.0,148,2,0
336,3103.0,47,2,0
337,2843.0,135,1,1
338,5232.0,57,2,0
339,3312.0,180,1,1
340,1794.0,73,1,1
341,2753.0,78,1,1
342,1017.0,192,1,1
343,5196.0,9,2,0
344,3166.0,109,1,1
345,7554.0,106,1,1
346,2224.0,158,1,1
347,3157.0,118,2,0
348,4748.0,156,2,0
349,2626.0,105,2,0
350,599.0,137,1,1
351,1502.0,138,1,1
352,686.0,172,1,1
353,7421.5,15,4,0
354,939.5,169,1,1
355,1386.5,153,2,1
356,8982.0,4,6,0
357,13862.0,9,4,0
358,6943.5,11,5,0
359,6424.0,152,1,1
360,5062.5,62,2,0
361,4737.0,127,4,0
362,3601.0,166,1,1
363,2581.0,45,2,0
364,695.0,133,1,1
365,7905.0,50,1,1
366,16586.0,23,5,0
367,8437.0,104,3,0
368,4142.0,11,3,0
369,30183.5,36,7,0
370,5272.0,19,2,0
371,1101.0,101,1,1
372,8421.0,132,3,0
373,1883.0,150,1,1
374,6381.0,178,1,1
375,1351.0,128,1,1
376,3172.5,148,2,0
377,6652.0,68,3,0
378,5880.5,67,4,0
379,16088.0,27,6,0
380,7705.0,146,1,1
381,353.05,112,1,1
382,1126.0,136,1,1
383,6712.5,43,6,0
384,1459.0,124,1,1
385,756.0,148,1,1
386,2440.5,18,2,0
387,637.0,161,1,1
388,3402.4000000000005,13,1,2
389,3436.0,166,1,1
390,11607.0,71,4,0
391,5125.0,72,3,0
392,1337.5,176,1,1
393,2472.0,126,1,1
394,3216.5,26,2,0
395,3447.0,160,1,1
396,3164.0,5,1,2
397,2350.0,7,1,2
398,3610.0,164,3,0
399,5153.0,41,2,0
400,2162.0,83,1,1
401,3884.0,6,2,2
402,2212.0,158,1,1
403,7239.0,118,4,0
404,1421.0,56,1,1
405,216.0,48,2,2
406,465.5,36,1,2
407,40.0,31,1,2
408,5845.0,84,3,0
409,8884.0,73,3,0
410,612.0,170,1,1
411,8293.0,129,4,0
412,1661.5,148,2,1
413,1870.0,12,1,2
414,744.0,104,1,1
415,2230.0,33,2,0
416,731.0,172,1,1
417,447.0,174,1,1
418,1791.0,173,1,1
419,855.0,161,1,1
420,1250.0,149,1,1
421,4778.5,13,6,0
422,6816.0,186,1,1
423,10355.5,48,3,0
424,6509.5,78,4,0
425,2405.0,182,1,1
426,2101.0,131,1,1
427,7032.0,94,3,0
428,2963.0,181,2,1
429,31911.5,1,21,0
430,3098.0,157,1,1
431,701.0,144,1,1
432,13485.0,26,10,0
433,3691.0,187,3,0
434,1213.0,104,1,1
435,1903.0,47,2,0
436,4199.0,138,1,1
437,3421.5,71,3,0
438,1799.0,160,1,1
439,4668.0,72,1,1
440,5072.0,139,2,0
441,5885.0,189,1,1
442,850.0,192,1,1
443,1219.0,36,1,2
444,33656.0,3,11,0
445,634.0,90,1,1
446,6017.5,2,5,0
447,2283.0,25,1,2
448,872.56,172,1,1
449,5000.0,162,1,1
450,620.0,168,1,1
451,8880.5,39,7,0
452,7260.01,27,2,0
453,6565.0,70,2,0
454,3576.0,20,1,2
455,3296.0,179,1,1
456,7356.0,54,4,0
457,683.0,1,1,2
458,16369.0,3,8,0
459,1132.5,166,1,1
460,7709.5,122,6,0
461,2506.0,167,2,1
462,4224.5,48,3,0
463,6223.0,35,2,0
464,6545.0,15,6,0
465,13675.0,2,9,0
466,3541.5,5,3,0
467,11876.0,6,8,0
468,3031.5,73,4,0
469,3288.5,20,2,0
470,3325.0,26,1,2
471,2607.0,157,1,1
472,3689.0,15,3,0
473,1743.0,6,2,2
474,3656.0,118,2,0
475,1558.0,47,1,1
476,3079.5,50,2,0
477,19041.5,70,3,0
478,8151.0,96,4,0
479,3760.0,51,4,0
480,8127.560000000002,163,1,1
481,853.0,24,1,2
482,1536.0,153,2,1
483,2184.0,47,1,1
484,4082.0,132,3,0
485,1551.5,13,1,2
486,411.24,101,1,1
487,1266.0,70,1,1
488,727.0,161,1,1
489,31374.44,40,17,0
490,10748.0,153,4,0
491,2350.0,166,2,1
492,464.0,157,1,1
493,9212.36,143,3,0
494,623.0,70,1,1
495,754.5,113,1,1
496,3877.7,164,3,0
497,13596.0,43,4,0
498,5912.0,40,1,1
499,4538.32,17,2,0
500,1386.5,86,1,1
501,1895.0,183,1,1
502,9333.62,64,4,0
503,1340.0,165,1,1
504,12769.16,14,5,0
505,4485.0,4,3,0
506,6378.5,128,3,0
507,8398.880000000001,34,4,0
508,1399.0,152,1,1
509,22473.36,52,11,0
510,1147.5,42,1,1
511,2300.0,55,1,1
512,3734.5,12,2,0
513,1717.0,75,1,1
514,635.1,130,1,1
515,26192.48,91,14,0
516,9878.0,47,3,0
517,23715.15,58,8,0
518,6150.0,158,1,1
519,1178.0,143,1,1
520,7331.0,50,4,0
521,9506.0,71,4,0
522,4109.0,22,2,0
523,1823.5,181,1,1
524,1246.0,116,1,1
525,5118.0,98,3,0
526,58462.07000000001,14,28,0
527,4800.0,36,2,0
528,1244.0,131,1,1
529,1745.0,184,1,1
530,896.0,8,1,2
531,1027.0,74,1,1
532,2711.2200000000007,90,2,0
533,4519.0,20,2,0
534,1440.0,155,1,1
535,5714.0,6,3,0
536,1025.0,96,1,1
537,627.5,139,1,1
538,4521.5,70,3,0
539,18262.0,43,2,0
540,5095.0,163,2,0
541,1312.0,126,1,1
542,700.0,112,1,1
543,667.0,76,1,1
544,2501.0,122,1,1
545,3900.5,54,5,0
546,5553.0,170,2,0
547,9955.0,60,8,0
548,2291.0,166,1,1
549,3546.0,6,2,2
550,3491.0,158,1,1
551,9899.0,152,3,0
552,3368.5,165,2,0
553,2355.0,127,1,1
554,1370.0,192,1,1
555,18449.0,32,5,0
556,4859.0,165,2,0
557,2519.0,34,2,0
558,2441.5,45,2,0
559,4728.0,116,2,0
560,6658.0,73,2,0
561,2692.0,93,2,0
562,2068.0,160,1,1
563,4934.5,7,5,0
564,20935.0,6,6,0
565,1882.5,80,2,1
566,10643.0,7,8,0
567,15598.5,16,5,0
568,2157.0,183,1,1
569,2263.0,111,1,1
570,3850.5,65,2,0
571,16147.0,133,3,0
572,2555.0,149,1,1
573,1700.5,89,2,1
574,1293.0,156,1,1
575,5649.0,149,2,0
576,6914.0,8,4,0
577,1909.5,107,2,1
