会员编号,money,recent,frequency
1034949076,7032.0,94,3
1034949077,2963.0,181,2
1034949078,31911.5,1,21
1034949079,3098.0,157,1
1034949081,701.0,144,1
1034949082,13485.0,26,10
1034949083,3691.0,187,3
1034949086,1213.0,104,1
1034949087,1903.0,47,2
1034949088,4199.0,138,1
1034949089,3421.5,71,3
1034949092,1799.0,160,1
1034949096,4668.0,72,1
1034949097,5072.0,139,2
1034949098,5885.0,189,1
1034949102,850.0,192,1
1034949103,1219.0,36,1
1034949105,33656.0,3,11
1034949106,634.0,90,1
1034949108,6017.5,2,5
1034949109,2283.0,25,1
1034949112,872.56,172,1
1034949114,5000.0,162,1
1034949115,620.0,168,1
1034949116,8880.5,39,7
1034949118,7260.01,27,2
1034949120,6565.0,70,2
1034949122,3576.0,20,1
1034949124,3296.0,179,1
1034949126,7356.0,54,4
1034949129,683.0,1,1
1034949130,16369.0,3,8
1034949131,1132.5,166,1
1034949133,7709.5,122,6
1034949134,2506.0,167,2
1034949138,4224.5,48,3
1034949139,6223.0,35,2
1034949140,6545.0,15,6
1034949141,13675.0,2,9
1034949147,3541.5,5,3
1034949152,11876.0,6,8
1034949159,3031.5,73,4
1034949161,3288.5,20,2
1034949163,3325.0,26,1
1034949169,2607.0,157,1
1034949174,3689.0,15,3
1034949176,1743.0,6,2
1034949177,3656.0,118,2
1034949179,1558.0,47,1
1034949180,3079.5,50,2
1034949183,19041.5,70,3
1034949185,8151.0,96,4
1034949188,3760.0,51,4
1034949200,8127.560000000002,163,1
1034949242,623.0,70,1
1034949422,4800.0,36,2
1034969972,1244.0,131,1
1034970027,1745.0,184,1
1034970062,896.0,8,1
1034970086,1027.0,74,1
1034970117,2711.2200000000003,90,2
1034970323,5714.0,6,3
1035358873,3900.5,54,5
1035469289,5553.0,170,2
1035469290,9955.0,60,8
1035469291,2291.0,166,1
1035469296,3491.0,158,1
1035469297,9899.0,152,3
1035469298,3368.5,165,2
1035469299,2355.0,127,1
1035469300,1370.0,192,1
1035469303,18449.0,32,5
1035469305,4859.0,165,2
1035469306,2519.0,34,2
1035469307,2441.5,45,2
1035469309,4728.0,116,2
1035469310,6658.0,73,2
1035469311,2692.0,93,2
1035469312,2068.0,160,1
1035469313,4934.5,7,5
1035469316,20935.0,6,6
1035469317,1882.5,80,2
1035469320,10643.0,7,8
1035469322,15598.5,16,5
1035469328,2157.0,183,1
1035469329,2263.0,111,1
1035469335,3850.5,65,2
1035469336,16147.0,133,3
1035469337,2555.0,149,1
1035469339,1700.5,89,2
1035469341,1293.0,156,1
1035469342,5649.0,149,2
1035469344,6914.0,8,4
1035469345,1909.5,107,2
1035469347,3025.0,138,2
1035469348,8086.0,139,3
1035469349,1813.0,110,1
1035469350,1490.0,68,1
1035469351,1310.0,183,1
1035469353,17751.0,19,13
1035469355,903.0,142,1
1035469356,852.0,97,1
1035469357,3215.0,116,1
1035469358,897.0,151,1
1035469359,1205.0,95,1
1035469361,921.0,185,1
1035469363,5753.0,2,3
1035469364,14366.0,1,5
1035469366,7873.0,144,2
1035469367,11908.0,80,6
1035469368,712.0,187,1
1035469371,3710.0,43,2
1035469373,6151.0,8,3
1035469377,1242.5,21,1
1035469380,1462.0,98,2
1035469381,3515.5,19,2
1035469383,12044.0,39,5
1035469389,1214.5,157,1
1035469395,3441.0,100,2
1035469397,593.5,14,1
1035469398,12665.0,96,3
1035469402,1036.0,71,1
1035469403,4334.5,37,3
1035469405,984.5,188,1
1035469406,8481.0,97,2
1035469408,1899.0,91,2
1035469411,6330.5,33,3
1035469414,4957.0,1,2
1035469415,1256.0,118,1
1035469416,980.0,182,1
1035469417,2878.0,104,2
1035469418,2508.0,110,2
1035469420,1983.5,23,2
1035469424,1279.0,144,1
1035469426,12966.5,46,5
1035469428,6352.0,11,3
1035469429,2491.0,173,1
1035469430,456.0,176,1
1035469432,1098.0,17,1
1035469436,1609.5,184,1
1035469443,6003.5,127,1
1035469445,2537.5,36,1
1035469446,3775.0,77,1
1035469451,6396.0,38,2
1035469452,5525.0,69,2
1035469454,3076.0,159,1
1035469457,21658.5,112,5
1035469459,1107.0,89,1
1035469462,3963.5,132,1
1035469463,5651.5,36,2
1035469466,1062.0,141,1
1035469470,23132.0,21,13
1035469471,2718.0,9,2
1035469475,18148.34,5,7
1035469480,1719.5,86,3
1035469486,2077.5,49,1
1035469488,912.0,98,1
1035469489,4680.0,13,8
1035469491,3207.0,7,1
1035469492,1668.0,139,1
1035469498,1151.5,84,1
1035469500,2546.5,19,1
1035469502,5007.0,125,1
1035469503,16308.5,20,7
1035469505,1774.5,76,1
1035469508,13460.0,17,9
1035469509,7127.0,5,2
1035469511,5418.5,19,3
1035469512,905.0,186,1
1035469513,1157.0,153,1
1035469517,7082.5,52,3
1035469518,554.0,54,1
1035469519,2440.0,186,1
1035469522,637.0,125,1
1035469523,3514.0,98,2
1035469525,4284.5,114,2
1035469527,6801.0,17,7
1035469537,13044.0,14,1
1035469540,4553.0,56,2
1035469544,1769.5,120,1
1035469549,8901.5,2,6
1035469550,588.0,111,1
1035469551,2656.0,148,1
1035469555,2620.5,169,1
1035469558,14095.5,57,7
1035469563,1650.0,17,1
1035469564,4777.0,9,2
1035469567,1548.0,174,1
1035469576,12456.0,10,5
1035469581,3581.5,189,1
