money,recent,frequency
2565.5,24,5
1605.0,141,1
1104.5,142,1
758.5,151,1
1105.0,171,1
3900.0,148,1
10899.0,35,5
1895.0,147,2
972.0,84,1
3029.0,83,1
2289.0,46,1
465.5,4,1
604.5,166,1
2847.5,61,1
580.0,71,1
1250.0,190,1
2297.0,92,2
617.5,27,1
3947.0,138,2
701.0,192,1
4642.5,159,2
1361.5,178,1
989.0,189,1
1493.0,70,1
728.0,62,1
808.5,141,1
1093.0,76,2
3729.0,153,2
31439.0,130,1
1423.5,38,1
973.0,12,1
5126.0,59,3
1334.0,139,1
7615.5,74,6
735.0,162,1
767.0,190,1
682.5,125,1
929.0,189,1
830.5,192,1
2671.5,17,2
2507.0,15,1
2197.0,61,1
1082.0,155,1
2554.0,96,2
4268.0,159,1
1695.0,27,2
1839.0,167,1
786.0,186,1
3779.0,73,3
921.0,180,1
2930.5,13,3
3254.0,159,1
719.0,35,1
7890.5,22,2
904.5,27,1
1672.5,124,1
2998.0,104,4
24.0,90,1
1266.0,115,2
7784.5,14,3
898.5,141,1
797.0,26,1
2400.0,102,1
1187.5,168,1
580.0,160,1
683.0,141,1
2859.0,157,1
1468.5,162,1
1051.5,56,1
2131.5,192,1
26065.620000000003,102,7
1800.0,93,1
1422.0,53,1
566.0,176,1
1972.0,41,2
4602.0,27,3
1480.0,139,1
1222.0,105,2
2880.0,12,3
879.0,158,1
868.5,135,1
505.0,98,1
7847.0,136,3
2015.0,73,1
18704.0,19,11
756.0,70,1
4201.130000000001,124,2
2523.5,75,3
496.5,1,1
1186.0,15,1
1120.0,152,1
2202.0,25,2
2198.5,84,3
1664.0,72,1
53915.5,110,16
10831.0,29,12
1327.5,16,2
934.0,190,1
5435.5,18,4
650.0,38,1
1380.0,111,1
673.0,162,1
1682.5,67,1
978.0,99,1
940.5,66,1
697.0,64,1
606.0,44,1
675.0,179,1
597.0,110,1
1705.0,162,1
455.5,2,1
1483.5,76,2
3278.0,71,1
1393.0,23,1
630.0,192,1
815.5,37,1
641.5,17,1
1010.0,61,1
7322.0,45,5
8833.0,138,2
1673.0,182,1
882.0,122,1
879.0,83,1
1403.0,180,1
817.0,24,1
1708.5,188,1
313.0,84,1
1201.0,183,1
1776.0,125,1
943.5,160,1
1266.0,98,1
698.0,74,1
1945.0,96,3
1850.0,62,1
606.0,18,1
1270.5,155,1
1039.0,169,1
778.0,141,2
870.0,180,1
1400.0,163,1
495.0,64,1
3280.0,122,2
942.0,103,1
2641.0,21,1
420.0,153,1
7331.5,5,8
675.5,174,1
3697.0,101,1
3946.5,65,3
1375.05,96,1
8256.5,3,8
3544.0,159,1
3067.0,142,2
760.0,36,1
3097.0,156,2
1801.5,123,1
4249.0,6,2
692.5,144,1
18285.0,60,7
4328.0,126,2
34542.5,122,10
770.0,35,1
10902.7,13,7
1004.0,61,1
3624.5,48,1
997.0,187,1
1627.0,134,1
3600.0,60,2
636.5,84,1
517.0,36,1
1432.0,192,1
1474.0,80,2
1113.0,85,1
2724.0,187,1
1078.0,187,1
1211.0,50,2
3857.0,42,1
2588.0,71,1
4343.0,192,1
881.0,181,1
656.0,75,1
1472.0,40,1
22519.0,54,5
394.5,22,1
1384.0,17,1
10812.0,122,2
522.0,97,1
1667.0,23,1
942.5,169,1
301.0,46,1
1683.0,186,1
1020.0,104,1
579.0,35,1
1889.5,172,2
2173.0,78,1
2125.0,15,4
2215.0,139,1
3730.0,91,2
829.0,181,1
833.5,75,1
397.5,174,1
1024.0,1,1
1052.0,148,1
1240.0,173,1
5233.0,90,5
2358.0,83,1
1119.0,186,1
865.0,10,1
4505.5,117,4
690.0,99,2
941.5,85,2
2067.0,37,2
1716.0,36,3
974.0,161,1
417.5,64,1
1444.0,171,1
1963.5,131,2
982.5,118,1
1870.5,191,1
7774.0,125,3
1239.5,50,1
817.0,144,1
946.0,81,1
904.0,148,1
1651.5,72,2
1010.0,35,1
975.5,30,1
2260.0,175,1
2230.5,93,2
1268.0,188,1
933.5,73,1
846.0,122,1
846.0,111,1
1312.0,186,1
2960.0,158,2
980.5,78,1
2208.0,74,1
1281.5,73,1
1326.0,166,1
3333.0,148,2
1560.5,159,1
1013.5,103,1
7634.5,45,5
2236.5,105,2
784.5,146,1
1305.5,186,1
600.0,133,1
1925.0,161,1
3349.0,190,1
2322.0,163,1
2414.0,105,1
3588.0,70,1
1676.0,99,2
1104.0,135,1
1480.0,170,1
1918.0,189,1
860.5,90,1
548.0,70,1
3708.5,40,2
435.0,138,1
972.0,145,1
4104.0,154,1
4179.08,190,1
1973.5,19,2
2845.0,49,2
1149.5,90,1
2052.0,76,1
878.5,173,1
1742.5,19,2
1533.0,36,2
2108.5,155,2
1796.0,27,2
445.0,172,1
5872.5,73,2
1158.0,144,1
1013.0,76,1
727.5,107,1
1111.0,53,2
2602.0,33,1
2888.0,41,3
834.5,184,1
2409.0,44,1
1188.0,167,1
2518.5,122,3
776.0,182,1
1193.5,6,2
1598.0,28,1
2318.0,44,4
840.0,79,1
1184.0,11,1
1605.5,192,1
2967.5,163,1
2707.5,22,2
841.0,49,1
2174.0,71,1
1368.0,167,1
1175.0,147,1
1916.0,35,1
705.5,185,1
4709.0,149,3
744.0,192,1
386.0,163,1
1557.0,87,1
635.0,145,1
1752.0,38,1
1785.0,167,2
1675.0,184,1
2965.0,171,2
1339.5,169,1
383.0,82,1
1171.0,176,1
360.0,90,1
1984.5,66,3
2886.0,144,1
485.5,87,1
3194.0,83,1
1070.0,189,1
2025.5,72,3
800.0,12,1
927.0,38,1
1338.0,132,1
1347.0,187,1
3012.0,9,2
752.0,70,1
580.0,48,1
2973.0,49,3
325.0,53,1
2798.0,20,1
625.0,29,1
932.0,58,1
9448.0,100,3
1124.0,89,1
1344.5,112,2
565.5,72,1
905.0,139,1
979.0,186,1
2575.5,49,2
2213.5,6,5
934.0,123,1
3021.0,185,1
1201.0,137,1
2252.0,131,2
996.0,61,1
1072.5,159,1
1258.0,113,1
3417.0,152,1
615.0,12,1
3262.5,124,3
660.5,98,1
1018.0,138,1
3265.5,162,2
855.0,136,1
1143.0,138,1
823.0,67,1
3423.0,165,2
1801.0,44,1
439.5,57,1
877.0,14,1
2317.0,73,2
3076.0,135,3
682.5,11,1
2694.0,181,1
2428.0,29,1
3292.0,119,1
870.0,167,1
1748.5,181,1
880.5,167,1
680.5,186,1
851.0,50,1
365.0,99,1
765.0,28,1
1840.0,157,1
878.5,139,2
1356.0,174,1
879.0,154,1
3054.0,186,1
1071.5,97,1
563.0,192,1
2035.0,30,2
2109.0,163,1
583.0,151,1
2510.0,6,3
3685.5,49,5
1365.0,60,1
1237.0,131,1
1558.5,136,1
2102.0,137,2
536.0,42,1
1830.5,101,2
2102.5,155,2
3099.0,181,2
1006.0,22,1
1935.5,17,3
522.0,183,1
1096.0,154,1
360.0,192,1
906.0,78,1
1492.0,88,1
561.0,77,1
1012.5,61,1
1120.0,5,1
1161.5,142,1
1524.0,88,1
2703.5,86,1
1358.0,126,1
1127.5,37,2
2319.0,179,1
611.5,184,1
5728.0,66,3
1317.0,190,1
1652.0,6,3
546.0,72,1
1736.0,5,1
2789.0,61,1
2350.0,180,1
1264.0,190,1
1442.5,94,1
2379.0,51,1
3123.0,35,2
994.5,62,1
385.5,142,1
927.0,150,1
1551.0,157,2
440.5,83,1
1308.5,98,1
832.5,157,1
2107.5,171,1
6382.5,15,4
1021.0,13,1
2472.5,41,1
1805.0,37,1
1347.5,105,1
1437.0,160,2
1498.0,111,1
9360.0,2,3
2437.0,179,1
1068.0,184,1
552.0,169,1
764.5,175,1
5337.0,156,1
1197.0,117,1
731.0,149,1
1056.5,104,2
1070.0,9,1
628.5,160,1
2836.0,58,5
1404.5,65,1
584.0,164,1
4199.0,159,2
1081.0,157,1
574.0,157,1
754.0,18,1
1735.0,78,1
664.5,148,1
1505.5,103,2
1923.5,108,3
844.5,168,1
1422.0,126,1
144.0,152,1
1716.5,17,1
747.0,143,1
4590.0,183,1
947.0,175,1
724.0,24,1
503.0,52,1
839.5,48,1
561.5,118,1
1320.0,104,1
1024.0,7,1
875.0,172,1
2383.0,3,3
856.5,190,1
2621.0,171,2
1292.0,136,2
1147.0,175,1
1862.0,174,1
8301.0,106,2
1417.0,153,1
3376.0,46,1
1291.0,61,1
2255.0,65,1
1134.0,140,1
3935.5,19,6
1404.0,192,1
1463.0,173,1
1817.0,172,1
2262.0,82,2
5215.0,81,4
641.5,65,1
2243.5,98,4
987.0,115,1
740.0,176,1
1663.0,187,1
2437.0,32,1
2788.0,157,1
7599.0,136,2
3066.5,40,2
1926.0,26,3
644.0,138,1
2069.0,152,3
549.0,103,1
719.0,31,2
1846.0,113,2
402.0,124,1
1461.0,35,1
2905.0,159,1
2410.0,147,1
471.5,72,1
630.0,152,1
645.0,33,1
956.5,154,1
853.0,51,1
3135.5,25,3
3260.0,145,2
3636.0,67,3
2459.0,162,3
2054.5,53,2
713.0,184,1
2873.0,175,2
1636.0,173,1
987.0,92,2
792.0,18,1
1275.0,166,1
2506.0,19,2
532.0,160,1
2717.5,139,1
2555.5,103,2
517.5,179,1
680.0,8,1
1762.0,78,1
3085.5,90,1
1013.0,138,1
3015.56,1,3
2211.0,184,1
1541.5,130,2
853.0,161,1
995.5,131,1
2678.5,20,2
1119.5,62,1
537.0,184,1
1171.0,140,2
2144.5,45,1
1739.5,39,2
952.5,15,1
437.0,26,1
2490.5,6,2
3572.5,40,3
617.0,169,1
1039.5,185,1
753.0,161,1
583.0,177,1
564.0,183,1
640.0,11,1
689.5,54,1
1321.0,6,1
5229.5,8,3
507.0,147,1
1561.5,163,1
1639.0,122,1
434.0,137,1
589.5,157,1
683.5,65,1
659.0,29,1
2652.0,162,1
590.0,27,1
1325.5,183,1
486.5,64,1
894.0,25,1
595.0,129,1
1496.0,16,1
1035.0,48,1
12831.0,121,5
1115.5,142,1
38165.0,3,18
1098.0,119,1
1349.5,188,1
795.5,164,1
1365.5,124,1
2566.0,91,1
480.0,38,1
402.0,70,1
1279.0,16,1
397.0,177,1
1560.0,52,1
1263.0,135,1
1999.5,141,1
830.0,176,1
1095.0,67,2
734.0,148,1
1426.0,9,1
1057.0,37,1
915.5,45,1
2346.0,81,1
1547.0,135,1
1897.0,142,2
2419.5,62,3
1271.0,30,1
1814.0,149,1
6202.5,14,6
573.0,177,1
1382.0,48,2
698.0,81,1
4157.0,146,2
1891.5,150,1
1008.5,83,1
999.0,192,1
1358.0,169,2
1373.5,119,3
709.5,130,1
1062.5,184,1
737.5,24,1
680.0,76,1
4140.0,9,3
2060.0,48,2
830.5,175,2
5791.0,144,2
2171.5,152,1
1150.5,99,2
2048.0,152,1
3595.0,13,2
1040.5,175,1
6910.12,60,3
1897.5,140,1
7908.5,141,3
1029.0,187,1
3346.7000000000003,57,2
4326.5,83,2
636.0,173,1
1718.0,146,1
1242.0,162,1
9357.0,13,4
5464.5,54,3
2086.0,168,1
33180.5,10,12
6974.0,157,3
1936.8000000000002,159,1
1363.5,13,1
20260.05,10,11
1167.5,171,2
1406.0,142,1
2893.0,152,2
5276.0,58,1
1838.0,179,1
1847.0,70,2
1212.0,117,1
12.0,171,1
2115.0,152,1
3535.5,43,2
6157.0,154,1
4495.0,159,1
5136.800000000001,90,2
6369.88,2,5
1083.5,17,1
2773.5,168,1
2859.0,34,1
1433.0,189,1
6911.5,14,5
10391.0,19,6
4941.0,124,1
5582.0,189,1
7639.5,78,5
1244.5,180,1
1674.0,180,1
649.0,184,1
1038.0,192,1
5436.0,143,1
2209.0,144,2
28567.16,1,10
1244.5,175,1
1272.0,184,1
2786.0,14,3
15913.5,76,3
738.0,16,1
4036.0,3,1
5394.16,62,4
1336.0,151,1
3509.5,130,2
8802.3,72,3
1678.0,146,1
4989.5,3,3
862.5,83,1
728.5,50,1
1870.0,16,2
5872.0,150,2
3261.0,61,2
6815.0,36,4
3774.0,86,2
2205.5,126,2
1904.0,3,1
810.0,147,1
1759.0,28,2
3015.0,77,2
1992.0,151,2
625.0,117,1
3114.0,14,2
3806.5,180,2
1546.0,163,1
2367.0,144,2
3628.0,98,2
20300.0,101,4
2262.0,175,2
2958.0,91,1
2691.0,173,1
3324.5,12,2
3500.0,26,2
6221.5,67,5
4972.5,116,2
2787.0,99,2
6131.0,59,2
1514.0,181,3
4499.0,107,1
802.0,18,1
2420.0,152,1
1639.0,108,2
5776.0,130,3
4157.0,145,2
1365.5,24,2
3245.0,179,1
2147.0,141,1
3950.0,88,2
4849.0,126,3
12268.0,112,3
3075.0,186,1
3504.5,59,2
5940.5,98,4
1162.0,42,1
20135.0,2,8
7094.0,34,4
6845.0,34,2
1275.0,178,1
617.0,180,1
2902.5,18,2
4803.0,147,2
3911.0,112,2
826.0,49,1
9014.0,13,6
4168.0,154,1
10629.0,61,7
2881.0,188,1
1016.0,76,1
2763.0,125,1
1257.0,168,1
878.0,169,1
7827.0,134,1
6305.5,46,3
3256.0,47,2
572.0,5,1
1514.0,73,1
1890.0,140,1
7212.0,52,3
24725.5,72,12
2410.5,57,1
2177.0,189,1
12643.5,40,7
13235.0,137,3
1350.0,132,1
1186.0,181,1
3565.0,164,1
3939.0,142,2
1430.0,21,1
5996.5,76,5
1589.0,121,2
2624.0,94,3
2516.5,41,4
2615.0,174,3
1449.0,75,1
11448.0,46,6
6032.0,159,1
2948.0,191,1
1220.0,171,1
4312.0,192,1
3204.0,133,2
7499.0,169,1
1749.0,81,1
2228.0,12,1
15695.0,132,2
5951.0,162,2
2057.0,159,1
2080.0,141,1
1942.0,148,1
1002.0,161,1
480.0,127,1
7129.0,77,5
2044.0,60,2
8449.0,3,3
448.0,30,1
1514.5,33,3
1211.0,35,1
4934.0,74,2
1461.0,130,1
2635.0,14,3
3217.0,98,2
2563.0,92,2
41436.5,17,17
1449.0,97,1
4880.0,25,2
5536.0,48,5
2348.0,133,1
2316.0,63,1
2895.0,186,1
5732.0,4,2
2066.0,182,1
525.0,24,1
3664.0,187,1
4626.68,70,2
2456.0,142,1
724.5,133,1
1305.0,146,1
890.0,170,1
6404.0,150,1
7560.0,19,2
2175.5,7,2
3145.0,157,2
2197.0,190,1
3285.0,133,1
10501.0,102,7
1669.0,186,1
3065.0,151,1
3552.0,154,1
1852.0,86,1
6458.0,55,3
6725.0,90,4
8692.5,79,2
8536.0,151,1
2300.0,36,1
7080.0,153,1
1622.0,159,1
434.5,93,1
3214.0,5,1
1451.0,84,1
898.0,76,1
1636.0,61,1
954.5,60,1
1364.0,71,1
2266.0,52,2
4842.0,15,3
3107.0,162,1
1516.0,53,1
1216.0,19,1
1032.0,146,1
10998.0,6,5
10829.5,60,3
801.0,116,1
3007.5,36,2
1795.0,157,1
1833.0,96,1
2830.0,144,1
2467.0,72,3
1907.0,99,1
1105.0,191,1
2421.0,153,1
3470.0,13,2
2889.0,35,1
19733.0,77,2
1133.0,36,2
7206.0,124,2
2195.0,7,4
1912.0,17,1
2649.0,166,1
4313.5,163,1
1461.0,157,1
1014.0,111,1
1177.0,22,1
2431.0,22,2
1207.5,43,1
7566.0,34,1
17561.5,9,2
802.0,144,1
1048.5,98,1
2140.0,5,1
2960.0,71,1
3446.0,99,2
3543.0,133,2
3144.0,125,2
2561.0,125,2
574.0,138,1
1023.0,73,1
10244.0,35,6
9562.5,14,4
2179.0,171,1
626.0,187,1
1145.0,174,1
11409.0,150,3
4691.0,28,4
2492.0,163,1
3778.0,74,1
2562.0,144,1
4643.0,149,2
951.0,192,1
2952.5,84,2
3322.0,155,1
1793.0,29,1
1143.0,187,1
5884.0,41,4
4924.0,1,4
2068.0,149,1
1079.0,19,1
2371.0,96,1
952.5,144,1
2305.0,142,1
14988.0,61,8
8138.5,14,3
759.0,12,1
5864.0,97,3
1642.5,15,2
2219.0,76,1
734.0,144,1
817.0,152,1
1739.0,26,2
1676.0,50,1
921.0,154,1
22498.0,34,6
3750.0,1,2
25199.0,54,11
5130.0,173,1
1315.0,179,1
1396.0,28,1
7401.0,86,2
834.0,152,1
3445.0,155,1
1753.0,182,1
1974.0,154,1
2003.0,53,1
1208.5,96,1
3636.5,132,3
8400.5,6,5
2261.0,192,1
1164.0,54,1
1665.0,11,1
5306.0,150,2
1976.0,27,2
10680.0,53,3
8266.5,84,3
11248.0,80,3
1136.5,147,1
5656.0,41,3
7090.0,61,2
2869.0,115,1
1186.0,110,1
744.0,134,1
8785.5,37,5
2876.0,166,2
1244.5,114,1
14114.0,67,3
2833.0,14,1
4028.0,155,1
3053.0,19,2
5076.0,54,2
9727.5,10,3
5306.0,152,2
600.0,53,1
3995.0,42,2
3248.0,157,1
1416.6399999999996,161,1
764.0,72,1
1065.5,25,2
859.0,7,1
7219.0,40,2
14952.5,17,6
2152.0,89,1
1072.0,50,1
2315.0,41,3
6229.0,152,1
1833.0,55,1
2641.0,133,2
7534.0,154,1
1034.0,167,1
565.5,72,1
2075.0,128,1
7540.0,9,4
4873.0,58,3
7836.5,132,3
1277.0,109,1
8261.0,149,2
3336.0,47,1
693.0,180,1
1061.0,157,1
159.0,153,1
24474.0,155,1
1359.0,151,1
3164.5,23,1
1149.0,167,1
6191.0,9,2
1242.0,159,1
3922.0,78,2
3245.0,168,1
1072.0,163,1
2936.0,156,2
3873.0,65,1
2683.0,15,1
9589.0,122,2
1595.0,173,1
1900.5,48,2
3178.0,124,2
1607.0,138,1
964.0,78,1
22382.0,12,1
339.0,113,1
1817.0,61,1
570.0,164,1
7441.0,141,3
2706.0,67,1
15360.0,63,2
11530.0,36,4
2705.5,112,1
2321.0,35,1
6350.0,79,4
1015.0,13,1
1706.0,161,1
10787.5,25,5
4272.0,14,3
1091.5,71,1
2219.0,86,2
3296.0,3,1
2054.0,112,1
809.0,112,1
1529.0,35,1
5852.0,140,2
1246.0,148,2
464.0,177,1
406.0,156,1
605.0,67,1
2577.0,11,3
1010.0,6,2
1435.5,33,2
1983.0,76,1
676.0,94,1
1027.0,150,1
684.0,126,1
626.5,130,1
529.5,13,1
1026.0,148,1
2730.5,149,2
997.0,93,1
2121.5,140,3
1647.0,29,1
1163.0,57,1
1057.0,128,1
1414.0,111,1
1526.5,94,1
1856.5,57,2
1678.0,63,1
1957.0,76,1
1811.0,98,1
754.5,22,1
1917.0,81,2
6091.0,135,3
414.0,186,1
1338.0,191,1
4.0,16,1
2900.0,162,1
1486.0,188,1
802.0,81,1
458.0,98,1
2577.5,34,2
1782.0,147,1
786.5,152,2
1572.5,98,2
1781.0,158,1
811.0,152,1
634.0,174,1
1797.0,134,2
3159.0,94,1
1428.0,58,2
972.0,109,2
11317.0,149,3
729.5,174,1
2350.0,181,1
318.0,155,1
1094.0,43,2
1406.5,14,2
3669.0,4,3
663.0,59,1
341.0,186,1
544.5,143,1
925.0,4,2
1920.0,17,3
477.5,22,2
514.5,104,1
3389.0,169,1
2471.0,8,4
488.0,33,1
539.5,111,1
755.5,184,1
1493.0,103,1
919.5,18,1
1528.0,83,1
1505.0,97,1
1487.0,192,1
470.0,85,1
624.0,8,1
2833.0,191,1
1276.0,89,1
562.0,129,1
1147.0,146,1
3356.5,21,3
1082.0,105,1
400.0,12,1
2064.0,47,3
2382.0,177,1
3305.0,78,2
1426.0,159,1
554.5,44,1
882.0,152,1
994.0,85,2
649.0,126,1
1638.0,153,1
3645.0,163,1
338.0,188,1
971.0,7,1
3113.0,121,3
4332.0,150,2
851.5,40,1
1667.0,103,1
2429.0,106,3
1961.5,171,1
937.0,186,1
508.5,16,1
4148.0,22,1
5604.57,38,4
4158.0,174,1
2585.0,143,1
1080.5,118,1
636.0,39,1
2174.5,50,3
2213.0,17,2
3021.0,185,1
494.0,156,1
2932.0,153,1
3085.5,6,4
589.0,26,1
871.0,167,1
833.5,143,1
2766.5,36,2
497.5,75,1
1404.0,144,2
3907.5,163,2
1782.0,185,1
1744.5,6,2
2097.0,173,1
4014.5,16,5
793.5,181,1
2758.0,4,3
2223.0,134,1
933.0,3,1
1242.0,39,1
1849.0,31,1
900.0,3,1
905.0,47,1
5013.5,104,3
1063.0,124,1
1507.0,149,1
566.0,94,1
1080.5,72,1
4773.08,113,4
807.0,73,1
1740.5,88,1
2385.0,178,1
1799.0,150,1
2698.5,119,3
4335.5,72,4
880.5,171,1
2141.0,84,2
4261.0,96,3
368.0,190,1
3257.0,14,2
2951.0,97,2
8770.0,158,1
787.0,105,1
1786.5,174,1
3909.0,127,2
577.0,53,1
443.5,8,1
1471.0,96,1
1723.0,18,1
2044.0,26,5
517.0,138,1
2793.0,167,1
1573.0,148,1
1938.5,151,2
1372.0,116,1
3962.0,61,2
574.0,72,1
1355.0,124,1
1132.0,160,1
576.5,101,1
3703.0,169,1
5893.0,44,4
647.0,54,1
1524.5,133,2
22937.0,164,1
4206.0,13,2
906.5,19,1
2799.0,187,1
1347.0,143,1
1413.0,138,1
1093.5,1,1
1094.0,38,1
1239.0,39,1
1088.0,99,1
3672.0,152,1
1171.5,125,1
1492.0,159,1
1755.0,91,1
944.0,97,1
4517.5,13,5
11493.5,11,6
7431.5,24,5
1264.0,82,1
417.0,96,1
1374.0,51,1
511.0,146,1
1052.0,154,1
764.5,132,1
813.0,146,1
1478.0,170,1
808.0,116,1
1432.0,6,2
3123.5,71,3
406.0,102,1
983.0,168,1
622.0,125,1
1720.5,4,1
1771.0,162,2
630.0,47,1
1495.5,163,1
1981.5,188,1
4541.0,3,1
4823.0,44,4
2570.0,30,2
1377.0,182,1
1140.5,48,1
1043.0,18,1
2860.0,181,1
2691.0,170,2
2231.0,35,1
973.5,187,1
1086.0,8,1
1061.5,92,2
691.5,148,1
1969.0,164,1
2134.0,119,1
3580.0,184,1
2850.0,126,1
988.0,170,1
1505.5,119,2
1269.0,75,1
2069.0,93,2
4088.0,76,2
3092.0,180,2
738.5,104,1
1573.5,72,1
8168.0,17,5
8377.5,155,3
1196.1000000000001,165,1
1462.0,192,1
1615.0,175,1
1112.5,161,1
1227.5,147,1
629.5,192,1
777.0,126,1
2116.0,192,1
765.0,19,1
1738.5,192,1
634.0,192,1
1586.5,187,1
631.0,192,1
1228.0,192,1
1145.0,192,1
1608.0,192,1
510.0,192,1
810.5,192,1
580.5,192,1
1577.0,192,1
912.5,192,1
5450.0,61,3
1164.0,192,1
1904.5,165,1
1347.5,192,1
875.0,192,1
505.0,192,1
1784.0,68,2
621.5,192,1
675.5,192,1
1018.0,192,1
1289.0,192,1
1723.5,192,1
431.0,192,1
451.0,192,1
1031.0,192,1
1146.5,192,1
731.5,192,1
36184.5,178,2
3290.0,93,3
3284.0,192,1
2223.0,192,1
704.0,192,1
1946.07,192,1
2066.5,53,2
768.0,192,1
971.0,192,1
2431.0,192,1
944.5,192,1
1427.0,192,1
1142.0,192,1
738.0,192,1
662.0,192,1
1996.0,192,1
556.0,192,1
8302.0,18,3
1151.5,192,1
522.0,142,1
2436.0,40,1
567.0,192,1
1161.0,192,1
984.0,138,1
719.5,192,1
1157.5,172,1
959.0,192,1
1153.0,192,1
614.5,192,1
3722.0,148,2
14543.0,18,3
1246.0,192,1
6291.5,32,6
2940.0,192,1
1051.0,192,1
660.5,192,1
20090.0,162,2
1322.0,7,1
835.0,192,1
1690.0,192,1
1196.0,192,1
1503.5,38,2
6803.0,10,6
839.0,17,1
1363.0,192,1
2545.0,16,2
1386.0,192,1
949.5,192,1
1176.0,192,1
1102.0,192,1
1138.0,192,1
1008.5,192,1
898.0,192,1
979.5,192,1
3322.0,35,2
8275.0,192,1
1941.0,149,1
2228.56,135,2
929.0,192,1
2001.0,192,1
2146.0,2,2
1560.0,192,1
2323.7,181,1
781.0,192,1
606.0,192,1
1280.0,192,1
732.0,192,1
828.0,192,1
1222.0,143,1
2513.0,41,2
3633.0,125,1
853.5,192,1
641.0,192,1
2803.0,192,1
2110.0,192,1
1023.0,192,1
1259.5,192,1
1038.5,192,1
1621.0,192,1
410.0,192,1
600.5,192,1
2491.0,192,1
547.5,192,1
784.0,192,1
900.0,192,1
959.0,192,1
2224.0,192,1
3142.5,74,2
1914.0,192,1
1852.0,192,1
1060.0,192,1
3162.0,90,2
2037.5,192,1
803.0,192,1
1607.0,70,1
891.56,192,1
1269.0,192,1
1109.0,192,1
606.5,192,1
694.5,192,1
3169.0,192,1
15015.0,180,2
1051.0,192,1
2503.0,192,1
818.0,192,1
920.0,192,1
16414.22,45,5
1214.0,192,1
1408.0,192,1
2723.0,4,3
1637.0,192,1
1423.0,192,1
1286.0,192,1
794.5,192,1
620.0,97,1
1548.0,192,1
1647.0,192,1
900.0,24,2
1763.5,103,2
3878.0,149,2
1005.5,192,1
3027.5,192,1
1050.0,192,1
1066.5,192,1
17279.0,191,1
1080.0,191,1
378.0,191,1
1256.0,191,1
1234.5,191,1
1423.0,191,1
1600.0,163,2
2033.0,191,1
1719.5,191,1
598.0,191,1
1434.0,191,1
1912.0,191,1
2476.0,191,1
2183.5,63,2
433.0,191,1
1902.0,166,1
1041.0,191,1
5504.0,7,3
1097.5,191,1
3964.0,55,3
758.5,191,1
1776.0,141,2
436.5,191,1
592.0,117,1
946.0,191,1
2121.0,73,2
1501.5,191,1
2746.0,191,1
576.5,191,1
1473.0,72,2
3075.0,96,2
755.5,191,1
4763.5,144,2
679.0,191,1
1193.5,191,1
1591.0,191,1
1164.0,191,1
438.0,191,1
1605.0,191,1
5795.0,86,4
1486.0,191,1
1189.0,191,1
369.0,191,1
489.5,191,1
3884.5,191,1
1377.0,176,2
1390.0,181,1
1017.5,191,1
1005.5,137,1
1518.5,191,1
3081.0,191,1
1895.5,191,1
4984.5,98,2
1097.5,191,1
2110.0,191,1
1042.0,191,1
2321.5,191,1
615.5,191,1
1212.0,191,1
7228.0,94,3
3182.0,148,2
1759.0,190,1
3448.0,190,1
841.0,147,1
920.5,182,1
1682.0,190,1
853.0,190,1
2462.0,190,1
610.0,190,1
4777.0,7,2
1416.5,190,1
2023.0,190,1
3452.0,190,1
7333.5,41,5
887.0,190,1
713.5,190,1
593.0,190,1
1566.0,190,1
1244.0,190,1
485.0,190,1
1078.0,190,1
569.5,22,1
1892.0,190,1
1360.0,3,2
993.5,190,1
1566.0,119,1
1005.4300000000001,98,1
926.0,171,1
1008.0,190,1
538.0,190,1
434.0,166,1
1226.0,190,1
562.0,190,1
724.0,190,1
8616.0,150,2
2942.0,190,1
1124.0,190,1
2428.0,72,3
2255.0,190,1
1125.0,190,1
1159.0,190,1
854.0,190,1
8242.0,179,3
960.0,190,1
3447.0,190,1
6029.5,100,3
1247.0,171,1
831.5,190,1
4717.0,165,2
3370.0,93,1
2335.0,190,1
909.5,190,1
10134.34,17,6
1596.0,44,2
13866.0,142,2
1672.5,189,1
870.5,153,1
3255.5,97,3
6157.5,97,3
1892.5,122,3
1238.5,189,1
898.0,189,1
774.0,189,1
915.0,160,1
2023.0,189,1
1702.0,189,1
1351.0,189,1
8414.0,119,2
4790.5,56,3
1308.0,189,1
589.0,189,1
880.0,189,1
2246.0,20,3
1850.0,189,1
1869.5,189,1
625.0,189,1
1827.0,189,1
1054.0,110,1
953.5,189,1
879.0,189,1
653.0,7,1
2461.0,189,1
825.0,189,1
1557.5,189,1
1034.0,189,1
1940.0,189,1
955.5,63,2
403.0,147,1
557.0,189,1
712.0,189,1
13719.0,26,2
855.0,187,1
510.5,189,1
1554.5,189,1
890.0,189,1
1247.0,189,1
2492.0,189,1
2103.0,169,2
550.0,176,1
1046.0,189,1
4926.16,14,4
954.0,189,1
21493.0,189,1
1938.0,189,1
955.0,189,1
1598.0,1,1
964.5,189,1
12857.0,128,3
1518.0,189,1
1487.0,72,1
1799.0,98,1
1400.0,94,2
1760.5,189,1
467.0,189,1
8113.0,177,2
656.5,148,1
859.0,61,1
3129.0,72,2
2190.0,10,2
2999.5,17,3
556.5,188,1
2857.5,99,2
1974.5,138,2
1627.0,188,1
772.5,188,1
835.5,188,1
